STATE,STCNTY,COUNTYNAME,POP19,TAXFILERS,NUMDEP,NUMELDER,INCOME,NUMFARM,INCTAX,TEMPERATURE
AK,AK Aleutians East Borough,Aleutians East Borough,3337,0,0,0,0,0,0,41.74177095
AK,AK Aleutians West Census Area,Aleutians West Census Area,5634,0,0,0,0,0,0,41.74177095
AK,AK Anchorage Municipality,Anchorage Municipality,288000,136630,76690,27130,11059369000,150,1410476000,36.28482882
AK,AK Bethel Census Area,Bethel Census Area,18386,3090,2590,410,190402000,0,19987000,36.85331536
AK,AK Bristol Bay Borough,Bristol Bay Borough,836,0,0,0,0,0,0,37.22944444
AK,AK Denali Borough,Denali Borough,2097,600,300,130,45476000,0,5080000,28.24236512
AK,AK Dillingham Census Area,Dillingham Census Area,4916,0,0,0,0,0,0,37.22944444
AK,AK Fairbanks North Star Borough,Fairbanks North Star Borough,96849,37550,21630,6300,2538233000,120,267096000,27.31889511
AK,AK Haines Borough,Haines Borough,2530,1270,490,420,88825000,0,9628000,37.26596694
AK,AK Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,2148,0,0,0,0,0,0,41.05067459
AK,AK Juneau City and Borough,Juneau City and Borough,31974,13340,6490,2880,1025163000,0,114428000,42.94302841
AK,AK Kenai Peninsula Borough,Kenai Peninsula Borough,58708,26830,13880,7960,1932840000,240,212138000,37.13678864
AK,AK Ketchikan Gateway Borough,Ketchikan Gateway Borough,13901,6280,3200,1610,437711000,0,49471000,42.94302841
AK,AK Kodiak Island Borough,Kodiak Island Borough,12998,6250,3910,1360,400538000,0,38110000,37.18737701
AK,AK Kusilvak Census Area,Kusilvak Census Area,8314,0,0,0,0,0,0,
AK,AK Lake and Peninsula Borough,Lake and Peninsula Borough,1592,0,0,0,0,0,0,37.22944444
AK,AK Matanuska-Susitna Borough,Matanuska-Susitna Borough,108317,31210,20990,6990,2273378000,200,241187000,30.0404858
AK,AK Nome Census Area,Nome Census Area,10004,0,0,0,0,0,0,39.4856077
AK,AK North Slope Borough,North Slope Borough,9832,0,0,0,0,0,0,21.92416636
AK,AK Northwest Arctic Borough,Northwest Arctic Borough,7621,0,0,0,0,0,0,37.63965594
AK,AK Petersburg Borough,Petersburg Borough,3266,0,0,0,0,0,0,
AK,AK Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,6203,0,0,0,0,0,0,42.94302841
AK,AK Sitka City and Borough,Sitka City and Borough,8493,4470,1910,1170,316394000,0,35516000,42.94302841
AK,AK Skagway Municipality,Skagway Municipality,1183,0,0,0,0,0,0,37.26596694
AK,AK Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,6893,2640,1790,770,164212000,60,15145000,23.29499738
AK,AK Valdez-Cordova Census Area,Valdez-Cordova Census Area,9202,3330,1750,740,245058000,0,27130000,38.5898931
AK,AK Wrangell City and Borough,Wrangell City and Borough,2502,0,0,0,0,0,0,42.94302841
AK,AK Yakutat City and Borough,Yakutat City and Borough,579,0,0,0,0,0,0,37.26596694
AK,AK Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,5230,320,190,110,20087000,0,1788000,31.33766456
AL,AL Autauga County,Autauga County,55869,22740,15990,5150,1315034000,290,111885000,64.09730582
AL,AL Baldwin County,Baldwin County,223234,95380,56070,29150,6623663000,950,727952000,66.85037778
AL,AL Barbour County,Barbour County,24686,8080,5950,2030,356062000,330,28381000,65.58020896
AL,AL Bibb County,Bibb County,22394,8040,5950,1810,411914000,140,33225000,63.5118335
AL,AL Blount County,Blount County,57826,17560,12580,4200,912492000,680,68823000,62.63859582
AL,AL Bullock County,Bullock County,10101,4090,3400,950,146900000,190,9413000,64.78999258
AL,AL Butler County,Butler County,19448,7690,5850,1840,342837000,380,22986000,64.66308203
AL,AL Calhoun County,Calhoun County,113605,49690,32140,12870,2446690000,750,194241000,57.69247453
AL,AL Chambers County,Chambers County,33254,14050,9850,3160,590897000,230,41058000,62.18792741
AL,AL Cherokee County,Cherokee County,26196,8020,5100,2380,392360000,400,29413000,59.00134321
AL,AL Chilton County,Chilton County,44428,15350,11170,3480,795529000,400,63777000,64.00817108
AL,AL Choctaw County,Choctaw County,12589,4740,3310,1240,233278000,210,17602000,64.81297998
AL,AL Clarke County,Clarke County,23622,9710,7390,2380,482254000,370,38353000,65.37936842
AL,AL Clay County,Clay County,13235,5320,3470,1370,258222000,350,20278000,61.82007775
